pocet,rok,obec,okres
3310,1869,Abertamy,Karlovy Vary
3605,1880,Abertamy,Karlovy Vary
3644,1890,Abertamy,Karlovy Vary
4010,1900,Abertamy,Karlovy Vary
4293,1910,Abertamy,Karlovy Vary
3512,1921,Abertamy,Karlovy Vary
3824,1930,Abertamy,Karlovy Vary
2261,1950,Abertamy,Karlovy Vary
1715,1961,Abertamy,Karlovy Vary
1145,1970,Abertamy,Karlovy Vary
1156,1980,Abertamy,Karlovy Vary
1052,1991,Abertamy,Karlovy Vary
1197,2001,Abertamy,Karlovy Vary
1315,2011,Abertamy,Karlovy Vary
902,1869,Adamov,Blansko
953,1880,Adamov,Blansko
728,1890,Adamov,Blansko
792,1900,Adamov,Blansko
816,1910,Adamov,Blansko
998,1921,Adamov,Blansko
1148,1930,Adamov,Blansko
2090,1950,Adamov,Blansko
3139,1961,Adamov,Blansko
3787,1970,Adamov,Blansko
5088,1980,Adamov,Blansko
5089,1991,Adamov,Blansko
4970,2001,Adamov,Blansko
4624,2011,Adamov,Blansko
464,1869,Adamov,Kutná Hora
471,1880,Adamov,Kutná Hora
463,1890,Adamov,Kutná Hora
457,1900,Adamov,Kutná Hora
404,1910,Adamov,Kutná Hora
375,1921,Adamov,Kutná Hora
301,1930,Adamov,Kutná Hora
231,1950,Adamov,Kutná Hora
226,1961,Adamov,Kutná Hora
198,1970,Adamov,Kutná Hora
152,1980,Adamov,Kutná Hora
122,1991,Adamov,Kutná Hora
113,2001,Adamov,Kutná Hora
106,2011,Adamov,Kutná Hora
637,1869,Adamov,České Budějovice
682,1880,Adamov,České Budějovice
707,1890,Adamov,České Budějovice
650,1900,Adamov,České Budějovice
735,1910,Adamov,České Budějovice
650,1921,Adamov,České Budějovice
632,1930,Adamov,České Budějovice
437,1950,Adamov,České Budějovice
441,1961,Adamov,České Budějovice
406,1970,Adamov,České Budějovice
387,1980,Adamov,České Budějovice
489,1991,Adamov,České Budějovice
515,2001,Adamov,České Budějovice
639,2011,Adamov,České Budějovice
1424,1869,Adršpach,Náchod
1674,1880,Adršpach,Náchod
1660,1890,Adršpach,Náchod
1538,1900,Adršpach,Náchod
1605,1910,Adršpach,Náchod
1449,1921,Adršpach,Náchod
1490,1930,Adršpach,Náchod
789,1950,Adršpach,Náchod
660,1961,Adršpach,Náchod
565,1970,Adršpach,Náchod
609,1980,Adršpach,Náchod
535,1991,Adršpach,Náchod
508,2001,Adršpach,Náchod
527,2011,Adršpach,Náchod
1015,1869,Albrechtice,Karviná
1070,1880,Albrechtice,Karviná
1102,1890,Albrechtice,Karviná
1155,1900,Albrechtice,Karviná
1335,1910,Albrechtice,Karviná
1387,1921,Albrechtice,Karviná
1641,1930,Albrechtice,Karviná
1602,1950,Albrechtice,Karviná
2184,1961,Albrechtice,Karviná
2559,1970,Albrechtice,Karviná
3616,1980,Albrechtice,Karviná
3904,1991,Albrechtice,Karviná
4071,2001,Albrechtice,Karviná
3932,2011,Albrechtice,Karviná
780,1869,Albrechtice,Ústí nad Orlicí
868,1880,Albrechtice,Ústí nad Orlicí
926,1890,Albrechtice,Ústí nad Orlicí
816,1900,Albrechtice,Ústí nad Orlicí
825,1910,Albrechtice,Ústí nad Orlicí
768,1921,Albrechtice,Ústí nad Orlicí
700,1930,Albrechtice,Ústí nad Orlicí
439,1950,Albrechtice,Ústí nad Orlicí
517,1961,Albrechtice,Ústí nad Orlicí
498,1970,Albrechtice,Ústí nad Orlicí
507,1980,Albrechtice,Ústí nad Orlicí
486,1991,Albrechtice,Ústí nad Orlicí
495,2001,Albrechtice,Ústí nad Orlicí
480,2011,Albrechtice,Ústí nad Orlicí
335,1869,Albrechtice nad Orlicí,Rychnov nad Kněžnou
393,1880,Albrechtice nad Orlicí,Rychnov nad Kněžnou
403,1890,Albrechtice nad Orlicí,Rychnov nad Kněžnou
442,1900,Albrechtice nad Orlicí,Rychnov nad Kněžnou
581,1910,Albrechtice nad Orlicí,Rychnov nad Kněžnou
656,1921,Albrechtice nad Orlicí,Rychnov nad Kněžnou
877,1930,Albrechtice nad Orlicí,Rychnov nad Kněžnou
908,1950,Albrechtice nad Orlicí,Rychnov nad Kněžnou
