idhod,hodnota,stapro_kod,DRUHZVIRE_cis,DRUHZVIRE_kod,refobdobi,rok,uzemi_cis,uzemi_kod,STAPRO_TXT,uzemi_txt,DRUHZVIRE_txt
780787432,164983,5560,132,1,2018-04-01,2018,100,3042,Počet hospodářských zvířat,Plzeňský kraj,Skot
780789990,220052,5560,132,1,2018-04-01,2018,100,3107,Počet hospodářských zvířat,Kraj Vysočina,Skot
780787352,98298,5560,132,1,2018-04-01,2018,100,3085,Počet hospodářských zvířat,Královéhradecký kraj,Skot
780787353,43941,5560,132,1,2018-04-01,2018,100,3051,Počet hospodářských zvířat,Karlovarský kraj,Skot
780789770,1415770,5560,132,1,2018-04-01,2018,97,19,Počet hospodářských zvířat,Česká republika,Skot
780790106,84338,5560,132,1,2018-04-01,2018,100,3140,Počet hospodářských zvířat,Moravskoslezský kraj,Skot
780790696,117055,5560,132,1,2018-04-01,2018,100,3093,Počet hospodářských zvířat,Pardubický kraj,Skot
780790027,62764,5560,132,1,2018-04-01,2018,100,3131,Počet hospodářských zvířat,Zlínský kraj,Skot
780787442,221897,5560,132,1,2018-04-01,2018,100,3034,Počet hospodářských zvířat,Jihočeský kraj,Skot
780787424,64678,5560,132,1,2018-04-01,2018,100,3115,Počet hospodářských zvířat,Jihomoravský kraj,Skot
780789571,92806,5560,132,1,2018-04-01,2018,100,3123,Počet hospodářských zvířat,Olomoucký kraj,Skot
780789051,44339,5560,132,1,2018-04-01,2018,100,3069,Počet hospodářských zvířat,Ústecký kraj,Skot
780789311,50012,5560,132,1,2018-04-01,2018,100,3077,Počet hospodářských zvířat,Liberecký kraj,Skot
780789197,150607,5560,132,1,2018-04-01,2018,93,1,Počet hospodářských zvířat,Hlavní město Praha + Středočeský kraj,Skot
780790132,1479,5560,132,60,2018-04-01,2018,100,3042,Počet hospodářských zvířat,Plzeňský kraj,Kozy
780789677,3001,5560,132,60,2018-04-01,2018,100,3107,Počet hospodářských zvířat,Kraj Vysočina,Kozy
780787976,1550,5560,132,60,2018-04-01,2018,100,3085,Počet hospodářských zvířat,Královéhradecký kraj,Kozy
780789332,1537,5560,132,60,2018-04-01,2018,100,3051,Počet hospodářských zvířat,Karlovarský kraj,Kozy
780788971,30316,5560,132,60,2018-04-01,2018,97,19,Počet hospodářských zvířat,Česká republika,Kozy
780789144,1797,5560,132,60,2018-04-01,2018,100,3140,Počet hospodářských zvířat,Moravskoslezský kraj,Kozy
780789106,1718,5560,132,60,2018-04-01,2018,100,3093,Počet hospodářských zvířat,Pardubický kraj,Kozy
780787927,1356,5560,132,60,2018-04-01,2018,100,3131,Počet hospodářských zvířat,Zlínský kraj,Kozy
780787690,3277,5560,132,60,2018-04-01,2018,100,3034,Počet hospodářských zvířat,Jihočeský kraj,Kozy
780790247,1888,5560,132,60,2018-04-01,2018,100,3115,Počet hospodářských zvířat,Jihomoravský kraj,Kozy
780789424,1599,5560,132,60,2018-04-01,2018,100,3123,Počet hospodářských zvířat,Olomoucký kraj,Kozy
780789076,2189,5560,132,60,2018-04-01,2018,100,3069,Počet hospodářských zvířat,Ústecký kraj,Kozy
780788972,3703,5560,132,60,2018-04-01,2018,100,3077,Počet hospodářských zvířat,Liberecký kraj,Kozy
780790248,5222,5560,132,60,2018-04-01,2018,93,1,Počet hospodářských zvířat,Hlavní město Praha + Středočeský kraj,Kozy
780789785,2311,5560,132,70,2018-04-01,2018,100,3042,Počet hospodářských zvířat,Plzeňský kraj,Koně
780790097,1668,5560,132,70,2018-04-01,2018,100,3107,Počet hospodářských zvířat,Kraj Vysočina,Koně
780787637,2736,5560,132,70,2018-04-01,2018,100,3085,Počet hospodářských zvířat,Královéhradecký kraj,Koně
780789145,1294,5560,132,70,2018-04-01,2018,100,3051,Počet hospodářských zvířat,Karlovarský kraj,Koně
780789318,35181,5560,132,70,2018-04-01,2018,97,19,Počet hospodářských zvířat,Česká republika,Koně
780787793,2568,5560,132,70,2018-04-01,2018,100,3140,Počet hospodářských zvířat,Moravskoslezský kraj,Koně
780790588,2467,5560,132,70,2018-04-01,2018,100,3093,Počet hospodářských zvířat,Pardubický kraj,Koně
780789455,1825,5560,132,70,2018-04-01,2018,100,3131,Počet hospodářských zvířat,Zlínský kraj,Koně
780788706,4671,5560,132,70,2018-04-01,2018,100,3034,Počet hospodářských zvířat,Jihočeský kraj,Koně
780789262,1533,5560,132,70,2018-04-01,2018,100,3115,Počet hospodářských zvířat,Jihomoravský kraj,Koně
780789661,1829,5560,132,70,2018-04-01,2018,100,3123,Počet hospodářských zvířat,Olomoucký kraj,Koně
780787450,2285,5560,132,70,2018-04-01,2018,100,3069,Počet hospodářských zvířat,Ústecký kraj,Koně
780788140,2402,5560,132,70,2018-04-01,2018,100,3077,Počet hospodářských zvířat,Liberecký kraj,Koně
780787759,7592,5560,132,70,2018-04-01,2018,93,1,Počet hospodářských zvířat,Hlavní město Praha + Středočeský kraj,Koně
780787664,70828,5560,132,7,2018-04-01,2018,100,3042,Počet hospodářských zvířat,Plzeňský kraj,Krávy
780789041,87722,5560,132,7,2018-04-01,2018,100,3107,Počet hospodářských zvířat,Kraj Vysočina,Krávy
780790614,39931,5560,132,7,2018-04-01,2018,100,3085,Počet hospodářských zvířat,Královéhradecký kraj,Krávy
780790234,20640,5560,132,7,2018-04-01,2018,100,3051,Počet hospodářských zvířat,Karlovarský kraj,Krávy
780789211,587322,5560,132,7,2018-04-01,2018,97,19,Počet hospodářských zvířat,Česká republika,Krávy
780787389,39018,5560,132,7,2018-04-01,2018,100,3140,Počet hospodářských zvířat,Moravskoslezský kraj,Krávy
780788849,45759,5560,132,7,2018-04-01,2018,100,3093,Počet hospodářských zvířat,Pardubický kraj,Krávy
780788397,27652,5560,132,7,2018-04-01,2018,100,3131,Počet hospodářských zvířat,Zlínský kraj,Krávy
780790125,91142,5560,132,7,2018-04-01,2018,100,3034,Počet hospodářských zvířat,Jihočeský kraj,Krávy
780790110,25538,5560,132,7,2018-04-01,2018,100,3115,Počet hospodářských zvířat,Jihomoravský kraj,Krávy
780790613,39619,5560,132,7,2018-04-01,2018,100,3123,Počet hospodářských zvířat,Olomoucký kraj,Krávy
780789773,17715,5560,132,7,2018-04-01,2018,100,3069,Počet hospodářských zvířat,Ústecký kraj,Krávy
780790563,21280,5560,132,7,2018-04-01,2018,100,3077,Počet hospodářských zvířat,Liberecký kraj,Krávy
780790233,60478,5560,132,7,2018-04-01,2018,93,1,Počet hospodářských zvířat,Hlavní město Praha + Středočeský kraj,Krávy
780788144,2416384,5560,132,80,2018-04-01,2018,100,3042,Počet hospodářských zvířat,Plzeňský kraj,Drůbež
780787938,602520,5560,132,80,2018-04-01,2018,100,3107,Počet hospodářských zvířat,Kraj Vysočina,Drůbež
780790152,2780494,5560,132,80,2018-04-01,2018,100,3085,Počet hospodářských zvířat,Královéhradecký kraj,Drůbež
